X,Y,Z,R,G,B
303.67847978367865,-230.92166124025573,575.8859361234937,69,56,79
60.014206480831135,-310.9407807409032,578.9655102207355,127,110,129
329.44904691655654,-221.3774457496613,636.3450802103592,64,73,99
-127.99675947728718,-335.05283895420604,577.9960664623502,65,52,64
-490.9048774360803,-422.9249838044679,441.76502179196336,121,147,206
250.23157348274574,-227.9199907505716,573.0561291220088,113,98,117
-350.36696337272065,-191.18729882774647,567.4428850741459,89,68,87
326.1162808664321,-87.11408976704675,669.921089388266,140,159,199
281.2514937192295,-84.49821677229636,568.6831678425489,105,82,101
176.86178576614512,-125.09685312590865,570.0339643544777,0,0,0
-132.5248037635089,-173.4009097114131,569.8069313659953,53,24,31
145.40966148007942,-123.89147924106081,571.2169695021313,120,106,126
-119.58503146305345,-100.45660556908356,531.6068502022089,114,73,85
129.64990027398179,-80.30539674281594,568.9012721937195,138,118,138
30.25356054753447,-180.53731687029543,523.1722201515056,78,42,54
343.55463819107365,-146.64428919329822,607.7849493656248,33,46,74
-288.93123758512706,-226.5741897490587,571.1784680705631,0,0,0
-300.938268065094,-226.53891455365823,570.6758493704913,46,37,51
337.23081253374147,-128.06427074788996,638.5833240871408,89,100,139
73.76185061339578,-168.23908020124486,572.7205184776032,151,100,115
331.95289933593307,-124.34976263304307,631.7640327112833,48,62,94
-188.00570439928353,22.97767402212646,523.3283567013225,128,81,97
-44.63927696149631,7.385744996800669,521.3614706945033,57,25,32
-147.70885397801322,41.60170827234613,501.1773833215009,0,0,0
277.7113744754595,-14.39168329009361,565.7841752823898,90,72,88
-295.9144028631046,-35.9691491957364,562.3297028346377,65,56,75
263.61259908105626,-7.854052754232101,564.7479509855381,131,112,128
178.7394992926996,-7.90629349542062,565.0478128016996,0,0,0
174.6897652756793,-8.04276028149188,562.5271558928529,0,0,0
-9.35766707043521,-17.51675196065581,564.5541041892445,121,75,85
85.38584021818667,-4.23912680393737,543.1383824385748,118,68,77
58.429824476790934,118.18411197893744,363.2989477179815,103,66,83
74.45434861347529,123.50567095568373,371.6048110657328,87,42,55
107.54825639124981,125.97083782890212,428.3614705451118,95,56,71
-279.71846952966945,135.12135504637604,353.02273294940056,86,103,93
103.36646633909461,123.17165220642468,480.65378858489726,89,65,81
193.9963385351293,148.1170350166289,555.6049372909005,0,0,0
-424.4273337064132,125.69415326917523,495.90892720906527,120,109,122
74.19497013186178,80.01343716760398,383.7275857921077,121,80,94
-502.3848282560358,123.48999324235955,507.669876365551,133,150,185
98.91445316057013,84.58279210250325,453.0548652652437,67,37,50
45.656120736097975,-252.13975498317706,582.8615272637504,0,0,0
72.47011035725521,-207.69992679009394,516.1090494006758,116,87,94
26.59954092585952,-211.9917063668093,509.885226956101,42,16,25
4.74961240528153,-240.13550651730662,530.6609732631459,137,85,97
-325.65926889746055,-435.81860131244287,581.2912887466945,86,64,83
332.4898861439776,-207.92547178275208,574.3041934674455,109,88,102
170.9509899503652,-265.19087638023643,576.7368381041817,137,118,138
-26.51971325152362,-298.6871815132373,566.9401928623731,188,189,157
-155.24381603049628,-341.6919410240217,577.6254049635429,119,100,120
-317.87583233411067,-193.23384069043277,588.0525853300188,0,0,0
10.2718669788244,-69.24205668255586,530.4623793068365,55,26,30
166.25248958463484,-58.068935044599165,565.9907082350217,117,110,130
144.88930755504722,-70.14679643356067,566.6311235859496,87,68,87
143.01364237969312,-178.4063081301737,573.3307634394129,83,63,74
367.09606514840897,-174.7040792338304,802.5506549406985,87,91,138
69.18610668499701,-176.12639201926336,572.035512793907,113,91,109
242.79145216579545,51.46436966359032,564.951291305419,54,41,52
156.22861789573318,23.69415215264025,553.2148577159625,138,94,107
343.68955259788015,146.82988946368022,580.6574792928078,68,73,77
189.84081571729587,-8.71022712099786,564.0449971841985,126,110,123
343.9217803490896,139.91733182717945,600.880620388343,38,46,49
67.2727988567333,61.414840218764,368.09481601417644,107,58,69
-56.1311182795121,73.3797239807698,496.8579103576862,72,51,58
90.92187235665435,71.62481733429011,395.22849814447085,111,65,74
323.4753009418653,-68.06280411484569,621.7944402132244,43,33,58
312.6424981978817,-80.67689809158341,568.6225025374832,114,95,117
