X,Y,Z,R,G,B
100.71620247569933,-699.0499237585458,63.31058841543921,162,107,63
367.5699358765667,-778.8508904897301,345.73357035978637,196,145,83
201.1454531781298,-729.9119408210677,166.22851581195815,214,170,93
93.77167989920343,-695.2552117258606,57.47482099273273,211,166,93
93.77167989920343,-695.2552117258606,57.47482099273273,211,166,93
303.8094251221213,-759.6655623701477,274.1544757800366,209,161,87
92.09740191334413,-693.4736946582971,54.48703883762468,169,110,65
357.9294770621818,-770.1138815764439,340.6971438962903,196,146,84
193.34256277473975,-724.1370392235855,153.9464371571513,177,124,71
193.34256277473975,-724.1370392235855,153.9464371571513,177,124,71
189.350142158604,-723.0102776213238,147.70359582802465,207,161,88
75.32210174161526,-685.3137532454805,34.28176343014684,210,163,90
241.55862193299987,-739.6704782565951,196.6044785872603,178,125,70
241.55862193299987,-739.6704782565951,196.6044785872603,178,125,70
100.57279837276855,-694.773497783053,53.12979975402905,186,134,78
168.04212589197527,-715.4378816117012,123.02446274256997,180,127,73
396.47762650537345,-784.7738989210128,358.7690788648242,186,132,75
396.47762650537345,-784.7738989210128,358.7690788648242,186,132,75
311.0387047620615,-758.9644537108495,269.1440743220073,183,130,72
106.09066471029507,-695.3735609473717,58.30586371381543,216,172,94
165.62566158925415,-714.3676724732177,117.92037588970643,214,170,95
100.22344260544821,-693.8975886219366,46.93073157314316,214,171,94
100.53460946782701,-691.9062862885688,51.030738856568036,178,124,74
398.62842229473017,-784.0364892007065,356.0077761760482,198,152,86
320.03911825759485,-758.946971341488,274.3552958089222,209,161,87
320.03911825759485,-758.946971341488,274.3552958089222,209,161,87
319.2335070151779,-758.0469607601589,274.48406655630265,212,165,88
-148.17052615649519,-523.815128105777,-1.397275629464474,189,142,78
309.4279011491732,-754.0322198423024,264.4170274713605,210,163,88
287.70910531779447,-749.8721001024015,235.31020408190113,209,161,89
140.14856443658118,-703.9787083654796,84.95954460191246,195,147,84
-284.8383781829413,-419.62350325092063,-0.5858977096399371,181,136,75
115.04783160539466,-696.6706958331226,56.2220619652129,215,171,93
213.57662521619858,-726.6511185735342,157.130380175577,211,165,90
106.30301467533769,-691.7518163439545,51.04888741968,171,122,72
185.57584253292345,-716.8939627697455,129.58147317217927,207,161,89
109.89205046544544,-691.8508008012549,53.53786437267138,177,123,71
109.89205046544544,-691.8508008012549,53.53786437267138,177,123,71
215.87178480435676,-725.3749469753157,159.3940707516669,203,156,88
177.97514431680406,-714.7393135839706,117.21386076782102,203,157,90
-152.75141828237503,-516.2736251389656,-0.2828157386589396,195,155,85
-152.75141828237503,-516.2736251389656,-0.2828157386589396,195,155,85
193.32421973748194,-718.1774052516358,133.31629753288027,183,129,75
193.32421973748194,-718.1774052516358,133.31629753288027,183,129,75
293.32221924912136,-747.757651781433,238.28511656901748,202,153,87
293.3679950004953,-747.8329630956348,238.15571852001142,202,153,87
67.45406254482253,-681.3874590624715,-1.1685357178280071,188,140,80
185.9476433926322,-715.2518313826192,125.12217824264408,170,114,66
120.55828427897762,-697.6577209469933,52.51138525569442,165,112,63
381.1738113450703,-774.782249843512,323.61857359816736,197,148,86
114.42053044433243,-693.276643323518,47.578117886585744,214,172,96
333.2250495086911,-757.9125402996257,276.25578392668416,200,151,86
333.2250495086911,-757.9125402996257,276.25578392668416,200,151,86
415.88263160907854,-784.250705593103,358.2534806514459,187,135,76
124.07719270158378,-695.6273106730841,56.19177516824138,218,175,95
329.6824644195671,-759.4344590439723,263.14183979141706,212,165,90
327.5967371520624,-757.0932814866275,263.7191288511892,211,165,90
264.90084191883574,-737.9477410135908,199.10099073982713,168,112,63
291.45249674231343,-744.5070887506564,228.66924534632412,208,161,90
190.5175629506678,-714.6794818289018,120.98566166638889,174,119,69
181.8310735477873,-711.0289308397823,113.55384845279445,200,151,88
-56.147722929934446,-583.7897142238319,-2.6254586810165677,191,146,81
126.16560596769551,-694.6076802380437,53.92329986148064,161,101,57
199.0142702778627,-716.7520936592839,127.26375364897586,218,176,96
288.8449331015587,-743.7786384315673,219.55735959999785,197,148,85
128.89742377069365,-694.6484179955821,56.198931746284245,203,156,89
330.2840344487748,-755.3523833543022,261.9250395081094,203,153,85
332.3082917261464,-753.9299312431425,267.3583507862637,180,126,73
